Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Department_Code__c
"a00WU00000C5ynqYAB","005WU000001neEMYAY","false","Audit Services","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-01"
"a00WU00000C5ynrYAB","005WU000001neEMYAY","false","Contract Management","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-02"
"a00WU00000C5ynsYAB","005WU000001neEMYAY","false","Division of Finance","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-03"
"a00WU00000C5yntYAB","005WU000001neEMYAY","false","Quality and Compliance Office","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-04"
"a00WU00000C5ynuYAB","005WU000001neEMYAY","false","Technology","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-05"
"a00WU00000C5ynvYAB","005WU000001neEMYAY","false","Disability Determination Bureau","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-06"
"a00WU00000C5ynwYAB","005WU000001neEMYAY","false","Human Resources","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-07"
"a00WU00000C5ynxYAB","005WU000001neEMYAY","false","Legislative Services","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-08"
"a00WU00000C5ynyYAB","005WU000001neEMYAY","false","Office of Communications and Media","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-09"
"a00WU00000C5ynzYAB","005WU000001neEMYAY","false","Office of General Counsel","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-10"
"a00WU00000C5yo0YAB","005WU000001neEMYAY","false","Division of Aging","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-11"
"a00WU00000C5yo1YAB","005WU000001neEMYAY","false","Division of Disability and Rehabilitative Services","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-12"
"a00WU00000C5yo2YAB","005WU000001neEMYAY","false","Division of Family Resources","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-13"
"a00WU00000C5yo3YAB","005WU000001neEMYAY","false","Division of Mental Health and Addiction","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-14"
"a00WU00000C5yo4YAB","005WU000001neEMYAY","false","Office of Medicaid Policy and Planning","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-15"
"a00WU00000C5yo5YAB","005WU000001neEMYAY","false","Office of Early Childhood and Out-of-School Learning","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z","005WU000001neEMYAY","2024-07-26T15:57:23.000Z",,,"405-16"
